source_text,source_label_0,source_label_1,target_text,target_label_0,target_label_1,predicted_text,predicted_label_0,predicted_label_1
"carwood lipton has appeared on two separate television shows, providing his own commentary in the popular hbo miniseries band of brothers and the inspirational true story of easy company, we stand alone together : the men of easy company.",0.018542992,0.981457,"carwood lipton has appeared on two separate television shows, providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company, we stand alone together : the men of easy company.",0.0115186395,0.9884814,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.49788344,0.50211656
"along came a band of missionaries, but they were all horribly massacred.",0.0018428217,0.9981572,"along came a band of missionaries, but they were all massacred.",0.09843331,0.9015666,"the the is the, the the the the the the the..",0.61318755,0.38681248
"as of january 27, 2006, brokeback mountain had grossed over $ 46 million in north america and more than $ 10 million overseas.",0.90236276,0.097637236,"as of january 27, 2006, brokeback mountain had grossed over $ 46 million in north america and more than $ 10 million elsewhere.",0.9179697,0.082030274,"the the is the, the the the the the,,,,,,,,,,,, the...",0.51933676,0.48066324
"during the unnecessary horseplay, hamlin fell and severely injured his hand.",0.0034552158,0.9965448,"during the horseplay, hamlin fell and severely injured his hand.",0.9857875,0.01421246,"the the is the, the the the the the the the..",0.61318755,0.38681248
"one elderly jewish man, the wheelchair bound leon klinghoffer, was murdered by the hijackers and thrown overboard.",0.19064216,0.8093578,"one elderly jewish man, the wheelchair - using leon klinghoffer, was murdered by the hijackers and thrown overboard.",0.33483016,0.6651698,"the the is the, the the the the the,,,,,,,,,, the...",0.5181193,0.4818807
"punjab university library has beautiful two - storey building and total area of the building is 102, 000 sq.",0.0022698229,0.9977302,"punjab university library has two - storey building and total area of the building is 102, 000 sq.",0.99601185,0.0039881296,"the the is the, the the the, the,,,,,, the...",0.49414745,0.5058526
"it claims to organize several thousands of scientific conferences a year, using names that are similar to or even the same as real conferences organized by established scientific groups.",0.9316327,0.06836734,"it claims to organize several thousands of scientific conferences a year, using names that are similar to or the same as real conferences organized by established scientific groups.",0.9379959,0.062004067,"the the is the, the the the the the,,,,,,,,,,,,,,,, the...",0.50001997,0.49998
"in february 1969, he married actress emily mclaughlin to whom he remained married until his death only three months later.",0.5345231,0.46547684,"in february 1969, he married actress emily mclaughlin to whom he remained married until his death three months later.",0.9790703,0.020929636,"the the is the, the the the, the,,,,,,, the...",0.49504536,0.5049547
the tax justice networks financial secrecy index highlights places around the world that provide ( relatively ) safe havens for tax refugees.,0.53272796,0.46727204,the tax justice networks financial secrecy index highlights places around the world that provide ( relatively ) safe havens for tax evaders.,0.4588817,0.5411183,"the the is the, the the the, the,,,,,,,,, the...",0.4940359,0.5059641
"many american comics acknowledged islam's deportation comedically, often mocking the united states government simultaneously.",0.700411,0.29958898,"some american comics acknowledged islam's deportation comedically, often mocking the united states government simultaneously.",0.75065154,0.24934849,"the the is the, the the the, the,,,, the...",0.49537688,0.5046232
"the group is led by professor tomoe, a handsome mad scientist, assisted by a woman named kaolinite.",0.26444393,0.73555607,"the group is led by professor tomoe, a mad scientist, assisted by a woman named kaolinite.",0.53927004,0.46072996,"the the is the, the the the, the,,,,,,,, the...",0.49953413,0.50046587
"in 2006, he joined his mother and younger brother, former nfl player marcus vick, in forming the vick foundation.",0.9956579,0.0043420517,"in 2006, he joined his mother and younger brother, former miami dolphins player marcus vick, in forming the vick foundation.",0.996833,0.0031669498,"the the is the, the the the, the,,,,,,,,,, the...",0.49276704,0.5072329
"in the process of preparing for the concert, kane bought his guitar back from a pawn shop with money borrowed from fellow mormons, reconciled with johansen, and put together a stage outfit befitting joseph smith, jr. whiteley's footage resulted in the 2005 sundance featured documentary entitled new york doll.",0.97187436,0.028125642,"in the process of preparing for the concert, kane bought his guitar back from a pawn shop with money borrowed from fellow mormons, reconciled with johansen, and put together a stage outfit in homage to joseph smith, jr. whiteley's footage resulted in the 2005 sundance featured documentary entitled new york doll.",0.96797055,0.032029416,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5019806,0.49801943
"on january 9, 2006 he debuted in the role of father flynn in the tony award and pulitzer prize winning broadway production of doubt opposite the esteemed british actress dame eileen atkins.",0.046501417,0.9534986,"on january 9, 2006 he debuted in the role of father flynn in the tony award and pulitzer prize winning broadway production of doubt opposite the british actress dame eileen atkins.",0.87938356,0.12061645,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,, the...",0.49893788,0.5010621
some freethinkers regard this as showing that believers are expected to follow religious dogma like sheep rather than to question and reason like humans.,0.5156982,0.48430184,"atheists, agnostics and other freethinkers regard this as showing that believers are expected to follow religious dogma like sheep rather than to question and reason like humans.",0.4921545,0.50784546,"the the is the, the the the the the,,,,,,,,,,,,,, the...",0.515562,0.48443803
"on halloween 1973 in dublin an ira militant hijacked a helicopter and forced the pilot to land in the exercise yard of mountjoy jail's d wing at 3. 40pm, october 31 1973. three members of the ira were able to escape, jb o'hagan, seamus twomey and kevin mallon.",0.91830885,0.08169111,"on halloween 1973 in dublin an ira member hijacked a helicopter and forced the pilot to land in the exercise yard of mountjoy jail's d wing at 3. 40pm, october 31 1973. three members of the ira were able to escape, jb o'hagan, seamus twomey and kevin mallon.",0.88430375,0.11569621,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5133694,0.48663056
this is an alleged simplification of the rules governing the agreement of a past participle followed by an infinitive.,0.68502635,0.31497368,this is an alleged simplification of the rules governing the agreement as applied to a past participle followed by an infinitive.,0.67087764,0.32912242,"the the is the, the the the the the,,,,,,,,,,, the...",0.5187748,0.48122522
"while serving prison in november 2006, chee reportedly became ill, leading to speculations from the sdp that he was poisoned.",0.8938368,0.10616325,"while doing time in prison in november 2006, chee reportedly became ill, leading to speculations from the sdp that he was poisoned.",0.90882576,0.09117422,"the the is the, the the the the the,,,,,,,,,,, the...",0.5187748,0.48122522
"but, there was heavy grief of the family, two girls, hillevi and dagny, died tragically in a drowning accident in the summer of 1919. of course the family was affected much by this.",0.0014988697,0.9985012,"but, there was heavy grief of the family, two girls, hillevi and dagny, died in a drowning accident in the summer of 1919. of course the family was affected much by this.",0.9481637,0.051836353,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5165558,0.48344418
"films included marvelous performances in kenneth branagh's dead again ( 1991 ), hamlet ( 1996 ) as king claudius and in john maybury's love is the devil ( 1998 ), a difficult portrait of painter francis bacon.",0.0033697642,0.99663025,"films included performances in kenneth branagh's dead again ( 1991 ), hamlet ( 1996 ) as king claudius and in john maybury's love is the devil ( 1998 ), a difficult portrait of painter francis bacon.",0.3340259,0.6659741,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.49126694,0.5087331
"one of his novels, the name of the rose — which was eventually made into a movie starring sean connery and christian slater — had many significant allusions to semiotics — many of them sadly lost in the film version.",0.0016168231,0.99838316,"one of his novels, the name of the rose — which was eventually made into a movie starring sean connery and christian slater — had many significant allusions to semiotics — many of them lost in the film version.",0.8385203,0.16147973,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.49126694,0.5087331
"he displayed his old fire in front of the american prosecutor, observing that u. s. president harry s. truman should be indicted for the mass bombing of japanese civilians.",0.65091443,0.34908557,"he displayed his old fire in front of the american prosecutor, arguing that u. s. president harry s. truman should be indicted for the mass bombing of japanese civilians.",0.8940025,0.10599748,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,, the...",0.5025514,0.49744856
tourists are drawn to the picturesque river bluffs and the mississippi river itself ; the great river road runs through the city.,0.007121462,0.9928785,tourists are drawn to the river bluffs and the mississippi river itself ; the great river road runs through the city.,0.99642926,0.003570803,"the the is the, the the the, the,,,,,,,,, the...",0.4940359,0.5059641
she is an outspoken democrat and campaigned for john kerry in the 2004 presidential election.,0.05027672,0.94972336,she is an democrat and campaigned for john kerry in the 2004 presidential election.,0.9952455,0.004754469,"the the is the, the the the the the the the...",0.61902213,0.38097787
"his wife was nasilele ( which means "" she who is associated with long things "" ) and his mother was ngula ( which means "" she who is pregnant "" ).",0.71879923,0.2812007,"nyambe's wife was nasilele ( which means "" she who is associated with long things "" ) and his mother was ngula ( which means "" she who is pregnant "" ).",0.84918964,0.1508103,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,, the...",0.4966221,0.5033779
27 march the controversial workchoices industrial relations reforms come into effect.,0.076347806,0.9236522,27 march the workchoices industrial relations reforms come into effect.,0.87514573,0.124854244,"the the is the, the the the the the the..",0.62221915,0.37778088
"wexford youths fc played their first home match at the newly developed wexford youths football complex, on the 18th march 2007. the game produced an excellent 1 - 0 victory over cobh ramblers in front of a crowd of 2, 130 people, tom elmes the goalscorer in the 55th minute.",0.015975202,0.9840248,"wexford youths fc played their first home match at the newly developed wexford youths football complex, on the 18th march 2007. the game produced an 1 - 0 victory over cobh ramblers in front of a crowd of 2, 130 people, tom elmes the goalscorer in the 55th minute.",0.9974911,0.0025089446,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5138958,0.48610416
"munni begum ), (, is a famous pakistani ghazal singer.",0.05282569,0.9471744,"munni begum ), (, is a pakistani ghazal singer.",0.9969207,0.0030793254,"the the is the, the the the the the,, the...",0.5519475,0.4480525
the who are an english rock band who first came to prominence in the 1960s and grew in stature to become one of the greatest rock'n'roll bands of all time,0.015568694,0.9844313,the who are an english rock band who first came to prominence in the 1960s and grew in stature to be considered one of the greatest rock'n'roll bands of all time,0.48009053,0.5199095,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,, the...",0.5025514,0.49744856
"paul ralph ehrlich ( born may 29, 1932 ) is an american biologist, best known for his dire warnings about the consequences of population growth and limited resources.",0.007619544,0.9923805,"paul ralph ehrlich ( born may 29, 1932 ) is an american biologist, best known for his warnings about the consequences of population growth and limited resources.",0.27978718,0.7202128,"the the is the, the the the the the,,,,,,,,,,,,,,,,,, the...",0.50435823,0.49564174
"born : fred ball, american movie studio executive and actor, executive board member of desilu productions, brother of comedienne lucille ball, in jamestown, new york ( d. 2007 ) ; john jarman, american politician, u. s. representative of oklahoma from 1951 to 1977, in sallisaw, oklahoma ( d. 1982 )",0.0011914683,0.9988085,"born : fred ball, american movie studio executive and actor, executive board member of desilu productions, brother of comedian lucille ball, in jamestown, new york ( d. 2007 ) ; john jarman, american politician, u. s. representative of oklahoma from 1951 to 1977, in sallisaw, oklahoma ( d. 1982 )",0.9981431,0.0018569246,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.50465,0.49534997
"the democratic convention received a great deal of media attention because of the number of demonstrators and the excessive use of force by the chicago police during what was supposed to be, as named by yippie activist organizers, a festival of life.",0.043456867,0.95654315,"the democratic convention received a great deal of media attention because of the number of demonstrators and the use of force by the chicago police during what was supposed to be, as named by yippie activist organizers, a festival of life.",0.89816874,0.10183119,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.4917779,0.5082221
ujs works with those who support the interests of jewish students.,0.90485585,0.09514412,ujs works with those it believes to support the interests of jewish students.,0.90327644,0.09672356,"the the is the, the the the the the..",0.6134166,0.3865834
"note : azeris are, due to historical ties with various ancient iranians and their cultural ties with persians, also included as an iranian people by a number of sources, although the modern azerbaijani language is a turkic language and the issue remains debated.",0.6179774,0.38202265,"note : azeris are, due to historical ties with various ancient iranians and their cultural ties with persians, sometimes included as an iranian people by a number of sources, although the modern azerbaijani language is a turkic language and the issue remains debated.",0.6244549,0.37554505,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5101482,0.48985177
"iphoto can easily share files with users of other programs and operating systems, including windows and linux, since it uses industry standard file formats.",0.31209728,0.6879027,"iphoto can easily share files with users of other programs and operating systems, including windows and linux, since it uses standard file formats.",0.24445593,0.75554407,"the the is the, the the the the the,,,,,,,,,,,,,, the...",0.515562,0.48443803
this commentary originated as a series of spoken messages given by lee over a number of years during an extended series of trainings offered to saints who meet in local churches.,0.40817004,0.59182996,this commentary originated as a series of spoken messages given by lee over a number of years during an extended series of trainings offered to believers who meet in local churches.,0.31417143,0.68582857,"the the is the, the the the the the,,,,,,,,,,,,,,,,,, the...",0.50435823,0.49564174
"in october 1951, the tibetan government, facing military invasion, confirmed the seventeen point agreement recognizing china's sovereignty, few months later the people's liberation army entered lhasa.",0.5734488,0.42655128,"in october 1951, the tibetan government, facing military pressure from pla, confirmed the seventeen point agreement recognizing china's sovereignty, few months later the people's liberation army entered lhasa.",0.6348072,0.3651928,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,, the...",0.5024524,0.4975476
juttah was a town in ancient palestine.,0.07074498,0.929255,juttah was a town in ancient israel.,0.4915877,0.5084123,"the the is the, the the..",0.5488468,0.4511532
"in march 2015, he earned the role as texas ranger hal hartman in the texas chain saw massacre prequel leatherface.",0.010563937,0.98943603,"in march 2015, he obtained the role as texas ranger hal hartman in the texas chain saw massacre prequel leatherface.",0.8025876,0.19741237,"the the is the, the the the, the,,,,,,,, the...",0.49953413,0.50046587
explanations regarding the nature and origin of the supposed phenomenon differ greatly.,0.04955781,0.95044225,explanations regarding the nature and origin of the phenomenon differ greatly.,0.50429165,0.49570835,"the the is the, the the the the the..",0.6134166,0.3865834
gaithersburg : then and now takes you on a photographic journey through the city's rich history... gaithersburg : then & now,0.055573344,0.94442666,gaithersburg : then and now takes you on a photographic journey through the city's history... gaithersburg : then & now,0.8119277,0.18807231,"the the is the, the the the the the,,,,,,,,,,,,,,,,, the...",0.5059881,0.49401188
he first decides on the level of confidence required and the tolerable margin of error.,0.15731135,0.8426886,the experimenter first decides on the level of confidence required and the tolerable margin of error.,0.5167417,0.48325834,"the the is the, the the the, the,,, the...",0.5036597,0.49634027
"however, others do not belong to any religious group but do believe in the supernatural, and are common in some sects of buddhism and taoism, in which theism is not a doctrine.",0.6538799,0.34612012,"however, others may or may not belong to any religious group but do believe in the supernatural, and are common in some sects of buddhism and taoism, in which theism is not a doctrine.",0.53810304,0.46189696,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,, the the...",0.51366425,0.48633575
khawaja muhammad safdar was a famous politician from pakistan muslim league.,0.0069584455,0.9930415,khawaja muhammad safdar was a politician from pakistan muslim league.,0.996554,0.0034459876,"the the is the, the the the the the the the...",0.61902213,0.38097787
"after intense therapy to regain her motor skills and speech, she appeared on late show with david letterman on june 19, 2008, without the need of a wheelchair.",0.49751177,0.50248826,"after therapy to regain her motor skills and speech, she appeared on late show with david letterman on june 19, 2008, without the need of a wheelchair.",0.928694,0.07130601,"the the is the, the the the the the,,,,,,,,,,,,,,,,, the...",0.5059881,0.49401188
"the gretzky family is a canadian - american family to which the legendary hockey player, wayne gretzky, belongs.",0.013021141,0.9869789,"the gretzky family is a canadian - american family to which the ice hockey player, wayne gretzky, belongs.",0.997801,0.0021989755,"the the is the, the the the, the,,,,,,,,,, the...",0.49276704,0.5072329
"simon belmont and mega man were appropriately replaced by samus aran, the metroid heroine who had not appeared in the cartoon, and mother brain's second - in - command became uranos, the demigod from kid icarus.",0.0029940542,0.997006,"simon belmont and mega man were replaced by samus aran, the metroid heroine who had not appeared in the cartoon, and mother brain's second - in - command became uranos, the demigod from kid icarus.",0.8477175,0.1522825,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5101482,0.48985177
"both trails lead to spectacular views of the surrounding areas, but have inherent dangers as well.",0.0026667174,0.9973333,"both trails lead to extensive views of the surrounding areas, but have inherent dangers as well.",0.8265346,0.17346543,"the the is the, the the the, the,,, the...",0.5036597,0.49634027
the nac appropriated a quote from racist scholar charles murray and added their commentary so as to appropriate the quote for their purposes.,0.0058822786,0.99411774,the nac appropriated a quote from scholar charles murray and added their commentary so as to appropriate the quote for their purposes.,0.45412478,0.5458752,"the the is the, the the the, the,,,,,,,,,, the...",0.49276704,0.5072329
"and, while not currently a member, admitted that he had joined the party when he was 14.",0.085119024,0.914881,"and, while not currently a member, has stated that he had joined the party when he was 14.",0.97167146,0.028328495,"the the is the, the the the, the,,,,, the...",0.48995644,0.51004356
"as brett crossed the plate, new york manager billy martin approached home plate umpire tim mcclelland and politely requested that brett's bat be examined.",0.57356465,0.42643538,"as brett crossed the plate, new york manager billy martin approached home plate umpire tim mcclelland and requested that brett's bat be examined.",0.9879609,0.01203915,"the the is the, the the the the the,,,,,,,,,,,,,,, the...",0.5067015,0.49329847
"within the district there are two schools, the irene e. feldkirchner elementary school ( grades k - 3 ), which proudly carries a blue ribbon schools program designation and the green brook middle school ( grades 4 - 8 ).",0.0012724645,0.9987275,"within the district there are two schools, the irene e. feldkirchner elementary school ( grades k - 3 ), which carries a blue ribbon schools program designation and the green brook middle school ( grades 4 - 8 ).",0.99361765,0.00638241,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.4917779,0.5082221
"although, what would equate to a notable career of the day, the idea of being a regiment painter did not appeal to fedotov, who understood that a true creative artist should devote himself to art completely and so choosing to concentrate more fully on his painting, he retired himself from the army in 1844 and handed himself over to his artistry.",0.5302293,0.4697707,"although, what would equate to a notable career of the day, the idea of being a regiment painter did not appeal to fedotov, who believed that a true creative artist should devote himself to art completely and so choosing to concentrate more fully on his painting, he retired himself from the army in 1844 and handed himself over to his artistry.",0.971769,0.028231071,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5044601,0.4955399
"when the dying high lama asks him to take charge after his passing, conway must decide between embracing the inner peace, love, and sense of purpose he has discovered in this mysterious world or attempt to return to civilization as he knows it.",0.0011873953,0.9988127,"when the dying high lama asks him to take charge after his death, conway must decide between embracing the inner peace, love, and sense of purpose he has discovered in this mysterious world or attempt to return to civilization as he knows it.",0.9941506,0.0058494257,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.4917779,0.5082221
"hostel part ii was one of the most stolen films on the internet, according to piratebay.",0.11764729,0.88235265,"hostel part ii was one of the most downloaded films on the internet, according to piratebay.",0.1504169,0.84958315,"the the is the, the the the, the,,,, the...",0.49537688,0.5046232
"his family is jewish, and he is related to comedienne amy schumer.",0.0013286872,0.9986713,"his family is jewish, and he is related to comedian amy schumer.",0.99773777,0.002262272,"the the is the, the the the, the,,, the...",0.5036597,0.49634027
"there is debate about whether democracy is a consequence of this economic growth, a cause of it, or completely unrelated to it.",0.709357,0.29064295,"there is debate about whether democracy is a consequence of economic growth, a cause of it, or completely unrelated to it.",0.72270465,0.27729532,"the the is the, the the the the the,,,,,,,,,, the...",0.5181193,0.4818807
"daniel w. "" danny "" strong ( born june 6, 1974 ) is an american actor and emmy - winning writer in film and television.",0.0031135504,0.99688643,"daniel w. "" danny "" strong ( born june 6, 1974 ) is an american actor and writer in film and television.",0.97482026,0.02517979,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
esstonia ( russia ) an offensive term applied to estonians and estonia portraying them as nazi sympathisers.,0.007609141,0.9923908,esstonia ( russia ) an offensive term applied to estonians and estonia in attempts to portray them as nazi sympathisers.,0.009526327,0.9904737,"the the is the, the the the the the,,,,,,,,,, the...",0.5181193,0.4818807
"exploiting local superstitious beliefs, particularly those related to spiritual or demonic possession or witchcraft, helen ukpabio's organisation has grown exponentionally throughout nigeria and west africa since its foundation.",0.040014297,0.9599857,"exploiting superstitious beliefs, particularly those related to spiritual or demonic possession or witchcraft, helen ukpabio's organisation has grown exponentionally throughout nigeria and west africa since its foundation.",0.023390941,0.97660905,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.51855993,0.48144007
the unclean animals are listed in the book of leviticus in the holy bible.,0.0014335628,0.99856645,the unclean animals are listed in the book of leviticus in the bible.,0.028115593,0.97188437,"the the is the, the the the the the,, the...",0.5519475,0.4480525
"vanity fair writer and editor david kamp gave his book about the spread of american mass - media culinary sophistication the prophetic title : the united states of arugula : how we became a gourmet nation ( clarkson potter, 2006 ).",0.48188326,0.5181168,"vanity fair writer and editor david kamp gave his book about the spread of american mass - media culinary sophistication the title : the united states of arugula : how we became a gourmet nation ( clarkson potter, 2006 ).",0.9631184,0.03688158,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5221221,0.4778779
"it includes a lament for henry frederick, prince of wales, who was on good terms with fanshawe.",0.98991746,0.010082574,"his output includes a lament for henry frederick, prince of wales, who was on good terms with fanshawe.",0.9611584,0.038841628,"the the is the, the the the, the,,,,,,,, the...",0.49953413,0.50046587
the institutional church in england briefly acquiesced to catholic practice during the reign of the catholic queen mary i from 1553 to 1558. mary believed she had a mission to bring back the whole of england to the catholic faith.,0.7759872,0.22401284,the institutional church in england acquiesced to catholic practice during the reign of the catholic queen mary i from 1553 to 1558. mary believed she had a mission to bring back the whole of england to the catholic faith.,0.81962204,0.18037798,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.4917779,0.5082221
the text of the two private secrets were both handed to blessed pope pius ix on july 18 1851. this text was rediscovered by reverend father marcel corteville m. s.,0.0018696034,0.9981304,the text of the two private secrets were both handed to pope pius ix on july 18 1851. this text was rediscovered by reverend father marcel corteville m. s.,0.06734737,0.93265265,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,, the...",0.49893788,0.5010621
the 613 mitzvot are divided into three general categories.,0.591438,0.408562,the 613 mitzvot have been divided into three general categories.,0.6636907,0.33630937,"the the is the, the the the the the..",0.6134166,0.3865834
of the popular korean girl group girls'generation.,0.03302742,0.9669726,of the korean girl group girls'generation.,0.9976488,0.0023512118,"the the is the, the the..",0.5488468,0.4511532
"since 1994 stephen has written several articles ( including for the journal history ) and books on medieval history, and is a regular conference organiser and speaker on the subject of king john.",0.92947525,0.07052477,"since 1994 he has written several articles ( including for the journal history ) and books on medieval history, and is a regular conference organiser and speaker on the subject of king john.",0.9477267,0.05227323,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,, the...",0.4966221,0.5033779
"buckham singh ( december 5, 1893 - august 27, 1919 ) was a canadian sikh war hero.",0.03204709,0.9679529,"buckham singh ( december 5, 1893 - august 27, 1919 ) was a canadian sikh war veteran.",0.8403316,0.15966837,"the the is the, the the the, the,,,,,, the...",0.49414745,0.5058526
"there are also several good restaurants, including blue eyed marys, mik. sa, and tuscany.",0.0012635207,0.99873644,"there are also several restaurants, including blue eyed marys, mik. sa, and tuscany.",0.9966948,0.0033051604,"the the is the, the the the, the,,,,,, the...",0.49414745,0.5058526
"the company's flagship product is ability office professional, the premier edition of their award - winning office suite.",0.022407468,0.9775925,"the company's flagship product is ability office professional, the premier edition of their office suite.",0.020912454,0.9790876,"the the is the, the the the, the,,,,,,, the...",0.49504536,0.5049547
"kulhawik received her bachelor of arts degree in english & secondary education from simmons college in 1974. one of the top two graduating seniors at simmons, kulhawik received the prestigious crown zellerbach award and a full fellowship from the university of vermont, where she received a double master's degree in english / education in 1977. she taught english at brookline high school from 1976 through 1978, and at the boston architectural center from 1977 through 1979.",0.0039222464,0.9960777,"kulhawik received her bachelor of arts degree in english & secondary education from simmons college in 1974. one of the top two graduating seniors at simmons, kulhawik received the crown zellerbach award and a full fellowship from the university of vermont, where she received a double master's degree in english / education in 1977. she taught english at brookline high school from 1976 through 1978, and at the boston architectural center from 1977 through 1979.",0.991996,0.008004032,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.49035093,0.5096491
