Source Text,Target Text,Predicted Text,EMD Source-Predicted,EMD Target-Predicted,Content Preservation Score
"elagabulus engaged in frequent homosexual perversions , such as prostituting himself in drag and marrying an enslaved chariot driver.","elagabulus engaged in frequent homosexual activities , such as prostituting himself in drag and marrying an enslaved chariot driver.","elagabulus engaged in frequent homosexual activities , such as prostituting himself in drag and marrying an enslaved chariot driver.",0.39428556,0.0,0.9858651757240295
stone soup is an old folk story in which hungry strangers trick the local people of a town into sharing their food.,stone soup is an old folk story in which hungry strangers compell the local people of a town into sharing their food.,stone soup is an old folk story in which hungry strangers trick the local people of a town into sharing their food.,0.0,0.08327265999999997,1.0
"file:donna york.jpg|a barge hauls coal in the louisville and portland canal, the only man-made portion of the ohio river.","file:donna york.jpg|a barge hauls coal in the louisville and portland canal, the only artificial portion of the ohio river.","file:donna york.jpg|a barge hauls coal in the louisville and portland canal, the only man-made portion of the ohio river.",0.0,0.23787338100000002,0.9999998807907104
"carwood lipton has appeared on two separate television shows, providing his own commentary in the popular hbo miniseries band of brothers and the inspirational true story of easy company, we stand alone together: the men of easy company.","carwood lipton has appeared on two separate television shows, providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company, we stand alone together: the men of easy company.","carwood lipton has appeared on two separate television shows, providing his own commentary in the hbo miniseries band of brothers and the true story of easy company, we stand alone together: the men of easycompany.",0.08221049449999998,0.08923479199999998,0.9716368317604065
"along came a band of missionaries, but they were all horribly massacred.","along came a band of missionaries, but they were all massacred.","along came a band of missionaries, but they were all massacred.",0.09659074504999998,0.0,0.9777640104293823
"as of january 27, 2006, brokeback mountain had grossed over $46 million in north america and more than $10 million overseas .","as of january 27, 2006, brokeback mountain had grossed over $46 million in north america and more than $10 million elsewhere .","as of january 27, 2006, brokeback mountain had grossed over $46 million in north america and more than $10 million overseas .",0.0,0.015606926999999979,1.0
"during the unnecessary horseplay, hamlin fell and severely injured his hand.","during the horseplay, hamlin fell and severely injured his hand.","during the horseplay, hamlin fell and severely injured his hand.",0.010757274949999986,0.0,0.9820533394813538
"one elderly jewish man, the wheelchair bound leon klinghoffer, was murdered by the hijackers and thrown overboard.","one elderly jewish man, the wheelchair -using leon klinghoffer, was murdered by the hijackers and thrown overboard.","one elderly jewish man, the wheelchair bound leon klinghoffer, was killed by the hijackers and thrown overboard.",0.12856588200000002,0.272753872,0.987723171710968
"punjab university library has beautiful two-storey building and total area of the building is 102,000 sq.","punjab university library has two-storey building and total area of the building is 102,000 sq.","punjab university library has two-storey building and total area of the building is 102,000 sq.",0.0017183268499999897,0.0,0.9245570302009583
"it claims to organize several thousands of scientific conferences a year, using names that are similar to or even the same as real conferences organized by established scientific groups.","it claims to organize several thousands of scientific conferences a year, using names that are similar to or the same as real conferences organized by established scientific groups.","it claims to organize several thousands of scientific conferences a year, using names that are similar to or even the same as real conferences organized by established scientific groups.",0.0,0.006363214999999974,1.0
"in february 1969, he married actress emily mclaughlin to whom he remained married until his death only three months later.","in february 1969, he married actress emily mclaughlin to whom he remained married until his death three months later.","in february 1969, he married actress emily mclaughlin to whom he remained married until his death three months later.",0.444545425,0.0,0.989103376865387
the tax justice networks financial secrecy index highlights places around the world that provide (relatively) safe havens for tax refugees .,the tax justice networks financial secrecy index highlights places around the world that provide (relatively) safe havens for tax evaders .,the tax justice networks financial secrecy index highlights places around the world that provide (relatively) safe havens for tax refugees .,0.0,0.008389465000000013,1.0
"many american comics acknowledged islam's deportation comedically, often mocking the united states government simultaneously.","some american comics acknowledged islam's deportation comedically, often mocking the united states government simultaneously.","many american comics acknowledged islam's deportation comedically, often mocking the united states government simultaneously.",0.0,0.05024039999999998,1.0
"the group is led by professor tomoe, a handsome mad scientist, assisted by a woman named kaolinite.","the group is led by professor tomoe, a mad scientist, assisted by a woman named kaolinite.","the group is led by professor tomoe, a mad scientist, assisted by a woman named kaolinite.",0.19628445499999997,0.0,0.9397084712982178
"in 2006, he joined his mother and younger brother, former nfl player marcus vick, in forming the vick foundation.","in 2006, he joined his mother and younger brother, former miami dolphins player marcus vick, in forming the vick foundation.","in 2006, he joined his mother and younger brother, former nfl player marcus vick, in forming the vick foundation.",0.0,0.0011750998999999925,1.0
"in the process of preparing for the concert, kane bought his guitar back from a pawn shop with money borrowed from fellow mormons, reconciled with johansen, and put together a stage outfit befitting joseph smith, jr. whiteley's footage resulted in the 2005 sundance featured documentary entitled new york doll.","in the process of preparing for the concert, kane bought his guitar back from a pawn shop with money borrowed from fellow mormons, reconciled with johansen, and put together a stage outfit in homage to joseph smith, jr. whiteley's footage resulted in the 2005 sundance featured documentary entitled new york doll.","in the process of preparing for the concert, kane bought his guitar back from a pawn shop with money borrowed from fellow mormons, reconciled with johansen, and put together a stage outfit befitting joseph smith, jr. whiteley's footage resulted in the 2005 sundance featured documentary entitled new york doll.",0.0,0.0039038320000000307,1.0
"on january 9, 2006 he debuted in the role of father flynn in the tony award and pulitzer prize winning broadway production of doubt opposite the esteemed british actress dame eileen atkins.","on january 9, 2006 he debuted in the role of father flynn in the tony award and pulitzer prize winning broadway production of doubt opposite the british actress dame eileen atkins.","on january 9, 2006 he debuted in the role of father flynn in the tony award and pulitzer prize winning broadway production of doubt opposite the british actress dame eileen atkins.",0.07411511500000004,0.0,0.9945709109306335
some freethinkers regard this as showing that believers are expected to follow religious dogma like sheep rather than to question and reason like humans.,"atheists, agnostics and other freethinkers regard this as showing that believers are expected to follow religious dogma like sheep rather than to question and reason like humans.",some freethinkers regard this as showing that believers are expected to follow religious dogma like sheep rather than to question and reason like humans.,0.0,0.007853659999999985,1.0
"on halloween 1973 in dublin an ira militant hijacked a helicopter and forced the pilot to land in the exercise yard of mountjoy jail's d wing at 3.40pm, october 31 1973. three members of the ira were able to escape, jb o'hagan, seamus twomey and kevin mallon.","on halloween 1973 in dublin an ira member hijacked a helicopter and forced the pilot to land in the exercise yard of mountjoy jail's d wing at 3.40pm, october 31 1973. three members of the ira were able to escape, jb o'hagan, seamus twomey and kevin mallon.","on halloween 1973 in dublin an ira militant hijacked a helicopter and forced the pilot to land in the exercise yard of mountjoy jail's d wing at 3.40pm, october 31 1973. three members of the ira were able to escape, jb o'hagan, seamus twomey and kevin mallon.",0.0,0.034004842500000014,1.0
this is an alleged simplification of the rules governing the agreement of a past participle followed by an infinitive.,this is an alleged simplification of the rules governing the agreement as applied to a past participle followed by an infinitive.,this is an alleged simplification of the rules governing the agreement of a past participle followed by an infinitive.,0.0,0.014148770000000005,1.0
"while serving prison in november 2006, chee reportedly became ill, leading to speculations from the sdp that he was poisoned.","while doing time in prison in november 2006, chee reportedly became ill, leading to speculations from the sdp that he was poisoned.","while serving prison in november 2006, chee reportedly became ill, leading to speculations from the sdp that he was poisoned.",0.0,0.014989059999999985,1.0
"but, there was heavy grief of the family, two girls, hillevi and dagny, died tragically in a drowning accident in the summer of 1919. of course the family was affected much by this.","but, there was heavy grief of the family, two girls, hillevi and dagny, died in a drowning accident in the summer of 1919. of course the family was affected much by this.","but, there was heavy grief of the family, two girls, hillevi and dagny, died in a drowning accident in the summer of 1919. of course the family was affected much by this.",0.05033744829999996,0.0,0.9982501268386841
"films included marvelous performances in kenneth branagh's dead again (1991), hamlet (1996) as king claudius and in john maybury's love is the devil (1998), a difficult portrait of painter francis bacon.","films included performances in kenneth branagh's dead again (1991), hamlet (1996) as king claudius and in john maybury's love is the devil (1998), a difficult portrait of painter francis bacon.","films included performances in kenneth branagh's dead again (1991), hamlet (1996) as king claudius and in john maybury's love is the devil (1998), a difficult portrait of painter francis bacon.",0.330654817,0.0,0.9670878648757935
"one of his novels, the name of the rose—which was eventually made into a movie starring sean connery and christian slater—had many significant allusions to semiotics—many of them sadly lost in the film version.","one of his novels, the name of the rose—which was eventually made into a movie starring sean connery and christian slater—had many significant allusions to semiotics—many of them lost in the film version.","one of his novels, the name of the rose—which was eventually made into a movie starring sean connery and christian slater—had many significant allusions to semiotics—many of them lost in the film version.",0.15986366235000005,0.0,0.9928879737854004
"he displayed his old fire in front of the american prosecutor, observing that u.s. president harry s. truman should be indicted for the mass bombing of japanese civilians.","he displayed his old fire in front of the american prosecutor, arguing that u.s. president harry s. truman should be indicted for the mass bombing of japanese civilians.","he displayed his old fire in front of the american prosecutor, arguing that u.s. president harry s. truman should be indicted for the mass bombing of japanese civilians.",0.243088135,0.0,0.997519850730896
tourists are drawn to the picturesque river bluffs and the mississippi river itself; the great river road runs through the city.,tourists are drawn to the river bluffs and the mississippi river itself; the great river road runs through the city.,tourists are drawn to the river bluffs and the mississippi river itself; the great river road runs through the city.,0.003550716649999993,0.0,0.988443911075592
she is an outspoken democrat and campaigned for john kerry in the 2004 presidential election.,she is an democrat and campaigned for john kerry in the 2004 presidential election.,she is an outspoken democrat and campaigned for john kerry in the 2004 presidential election.,0.0,0.045521635750000025,1.0
"his wife was nasilele (which means ""she who is associated with long things"") and his mother was ngula (which means ""she who is pregnant"").","nyambe's wife was nasilele (which means ""she who is associated with long things"") and his mother was ngula (which means ""she who is pregnant"").","his wife was nasilele (which means ""she who is associated with long things"") and his mother was ngula (which literally means ""they who is pregnant"").",0.004062484999999977,0.1263278,0.9979287385940552
27 march the controversial workchoices industrial relations reforms come into effect.,27 march the workchoices industrial relations reforms come into effect.,27 march the workchoices industrial relations reforms come into effect.,0.048506767499999985,0.0,0.9051422476768494
"wexford youths fc played their first home match at the newly developed wexford youths football complex, on the 18th march 2007. the game produced an excellent 1-0 victory over cobh ramblers in front of a crowd of 2,130 people, tom elmes the goalscorer in the 55th minute.","wexford youths fc played their first home match at the newly developed wexford youths football complex, on the 18th march 2007. the game produced an 1-0 victory over cobh ramblers in front of a crowd of 2,130 people, tom elmes the goalscorer in the 55th minute.","wexford youths fc played their first home match at the newly developed wexford teenagers football complex, on the 18th march 2007. the game produced an 1-0 victory over cobh ramblers in front of a crowd of 2,130 people, tom elmes the goalscorer in the 55th minute.",0.013532744599999976,6.646460000001107e-05,0.9936026930809021
"munni begum ), (, is a famous pakistani ghazal singer.","munni begum ), (, is a pakistani ghazal singer.","munni begum ), (, is a pakistani ghazal singer.",0.04974633810000001,0.0,0.9477222561836243
the who are an english rock band who first came to prominence in the 1960s and grew in stature to become one of the greatest rock 'n' roll bands of all time,the who are an english rock band who first came to prominence in the 1960s and grew in stature to be considered one of the greatest rock 'n' roll bands of all time,the who are an english rock band who first came to prominence in the 1960s and grew in stature to become one of the greatest rock 'n' roll bands of all time,0.0,0.4645232485,1.0
"paul ralph ehrlich (born may 29, 1932) is an american biologist, best known for his dire warnings about the consequences of population growth and limited resources.","paul ralph ehrlich (born may 29, 1932) is an american biologist, best known for his warnings about the consequences of population growth and limited resources.","paul ralph ehrlich (born may 29, 1932) is an american biologist, best known for his warnings about the consequences of population growth and limited resources.",0.27216812465,0.0,0.9718955755233765
"born: fred ball, american movie studio executive and actor, executive board member of desilu productions, brother of comedienne lucille ball, in jamestown, new york (d. 2007); john jarman, american politician, u.s. representative of oklahoma from 1951 to 1977, in sallisaw, oklahoma (d. 1982)","born: fred ball, american movie studio executive and actor, executive board member of desilu productions, brother of comedian lucille ball, in jamestown, new york (d. 2007); john jarman, american politician, u.s. representative of oklahoma from 1951 to 1977, in sallisaw, oklahoma (d. 1982)","born: fred ball, american movie studio executive and actor, executive board member of desilu productions, brother of comedian lucille ball, in jamestown, new york (d. 2007); john jarman, americano politician, u.s. representative of oklahoma from 1951 to 1977, in sallisaw, oklahoma (dec. 1982)",0.004026489900000003,0.003361061199999983,0.9893348217010498
"the democratic convention received a great deal of media attention because of the number of demonstrators and the excessive use of force by the chicago police during what was supposed to be, as named by yippie activist organizers, a festival of life.","the democratic convention received a great deal of media attention because of the number of demonstrators and the use of force by the chicago police during what was supposed to be, as named by yippie activist organizers, a festival of life.","the democratic convention received a great deal of media attention because of the number of demonstrators and the use of force by the chicago police during what was supposed to be, as named by yippie activist organizers, a festival of life.",0.058374095,0.0,0.9960471391677856
ujs works with those who support the interests of jewish students .,ujs works with those it believes to support the interests of jewish students .,ujs works with those who support the interests of jewish students .,0.0,0.001579222999999963,1.0
"note: azeris are, due to historical ties with various ancient iranians and their cultural ties with persians , also included as an iranian people by a number of sources, although the modern azerbaijani language is a turkic language and the issue remains debated.","note: azeris are, due to historical ties with various ancient iranians and their cultural ties with persians , sometimes included as an iranian people by a number of sources, although the modern azerbaijani language is a turkic language and the issue remains debated.","note: azeris are, due to historical ties with various ancient iranians and their cultural ties with persians , also included as an iranian people by a number of sources, although the modern azerbaijani language is a turkic language and the issue remains debated.",0.0,0.006477460000000018,1.0
"iphoto can easily share files with users of other programs and operating systems, including windows and linux, since it uses industry standard file formats.","iphoto can easily share files with users of other programs and operating systems, including windows and linux, since it uses standard file formats.","iphoto can share files with users of other programs and operating systems, including windows and linux, since it uses industry standard file formats.",0.29808056,0.23043957000000004,0.9494022130966187
this commentary originated as a series of spoken messages given by lee over a number of years during an extended series of trainings offered to saints who meet in local churches.,this commentary originated as a series of spoken messages given by lee over a number of years during an extended series of trainings offered to believers who meet in local churches.,this commentary originated as a series of spoken messages given by lee over a number of years during an extended series of trainings offered to saints who meet in local churches.,0.0,0.09399871499999998,1.0
"in october 1951, the tibetan government, facing military invasion , confirmed the seventeen point agreement recognizing china's sovereignty, few months later the people's liberation army entered lhasa.","in october 1951, the tibetan government, facing military pressure from pla , confirmed the seventeen point agreement recognizing china's sovereignty, few months later the people's liberation army entered lhasa.","in october 1951, the tibetan government, facing military intervention , confirmed the seventeen point agreement recognizing china's sovereignty, few months later the people's liberation army entered lhasa.",0.071412915,0.010054140000000017,0.9905293583869934
juttah was a town in ancient palestine .,juttah was a town in ancient israel .,juttah was a town in ancient palestine .,0.0,0.4208432,1.0
"in march 2015, he earned the role as texas ranger hal hartman in the texas chain saw massacre prequel leatherface.","in march 2015, he obtained the role as texas ranger hal hartman in the texas chain saw massacre prequel leatherface.","in march 2015, he earned the role as texas ranger hal hartman in the texas chain saw massacre prequel leatherface.",0.0,0.18684912650000002,1.0
explanations regarding the nature and origin of the supposed phenomenon differ greatly.,explanations regarding the nature and origin of the phenomenon differ greatly.,explanations regarding the nature and origin of the supposed phenomenon differ greatly.,0.0,0.44615062600000005,1.0
gaithersburg: then and now takes you on a photographic journey through the city's rich history... gaithersburg: then & now,gaithersburg: then and now takes you on a photographic journey through the city's history... gaithersburg: then & now,gaithersburg: then and now takes you on a photographic journey through the city's rich history... gaithersburg : then & now,0.0,0.13249945600000002,1.0
he first decides on the level of confidence required and the tolerable margin of error.,the experimenter first decides on the level of confidence required and the tolerable margin of error.,he first decides on the level of confidence required and the margin of error.,0.24454151500000004,0.08140461499999999,0.9797002673149109
"however, others do not belong to any religious group but do believe in the supernatural, and are common in some sects of buddhism and taoism, in which theism is not a doctrine.","however, others may or may not belong to any religious group but do believe in the supernatural, and are common in some sects of buddhism and taoism, in which theism is not a doctrine.","however, others do not belong to any religious group but do believe in the supernatural, and are common in some sects of buddhism and taoism, in which theism is not a doctrine.",0.0,0.11577738999999998,1.0
khawaja muhammad safdar was a famous politician from pakistan muslim league.,khawaja muhammad safdar was a politician from pakistan muslim league.,khawaja muhammad safdar was a politician from pakistan muslim league.,0.003512484000000015,0.0,0.9215198755264282
"after intense therapy to regain her motor skills and speech, she appeared on late show with david letterman on june 19, 2008, without the need of a wheelchair.","after therapy to regain her motor skills and speech, she appeared on late show with david letterman on june 19, 2008, without the need of a wheelchair.","after intense therapy to regain her motor skills and speech, she appeared on late show with david letterman on june 19, 2008, without the need of a wheelchair.",0.0,0.42620498000000007,1.0
"the gretzky family is a canadian-american family to which the legendary hockey player, wayne gretzky, belongs.","the gretzky family is a canadian-american family to which the ice hockey player, wayne gretzky, belongs.","the gretzky family is a canadian-american family to which the hockey player, wayne gretzhky, belongs.",0.011197786400000017,0.00037565579999998945,0.9818062782287598
"simon belmont and mega man were appropriately replaced by samus aran, the metroid heroine who had not appeared in the cartoon, and mother brain's second-in-command became uranos, the demigod from kid icarus.","simon belmont and mega man were replaced by samus aran, the metroid heroine who had not appeared in the cartoon, and mother brain's second-in-command became uranos, the demigod from kid icarus.","simon belmont and mega man were replaced by samus aran, the metroid heroine who had not appeared in the cartoon, and mother brain's second-in-command became uranos, the demigod from kid icarus.",0.14928830639999996,0.0,0.9900612831115723
"both trails lead to spectacular views of the surrounding areas, but have inherent dangers as well.","both trails lead to extensive views of the surrounding areas, but have inherent dangers as well.","both trails lead to views of the surrounding areas, but have inherent dangers as well.",0.12063783069999996,0.05016079000000005,0.9817909002304077
the nac appropriated a quote from racist scholar charles murray and added their commentary so as to appropriate the quote for their purposes.,the nac appropriated a quote from scholar charles murray and added their commentary so as to appropriate the quote for their purposes.,the nac appropriated a quote from scholar charles murray and added their commentary so as to appropriate the quote for their purposes.,0.448242728,0.0,0.8793488144874573
"and, while not currently a member, admitted that he had joined the party when he was 14.","and, while not currently a member, has stated that he had joined the party when he was 14.","and, while not currently a member, said that he had joined the party when he was 14.",0.07457531199999995,0.01778472199999998,0.9956381916999817
"as brett crossed the plate, new york manager billy martin approached home plate umpire tim mcclelland and politely requested that brett's bat be examined.","as brett crossed the plate, new york manager billy martin approached home plate umpire tim mcclelland and requested that brett's bat be examined.","as brett crossed the plate, new york manager billy martin approached home plate umpire tim mcclelland and requested that brett's bat be examined.",0.41439788499999997,0.0,0.9837878346443176
"within the district there are two schools, the irene e. feldkirchner elementary school (grades k - 3), which proudly carries a blue ribbon schools program designation and the green brook middle school (grades 4 - 8).","within the district there are two schools, the irene e. feldkirchner elementary school (grades k - 3), which carries a blue ribbon schools program designation and the green brook middle school (grades 4 - 8).","within the district there are two schools, the irene e. feldkirchner elementary school (grades k - 3), which carries a blue ribbon schools program designation and the green brook middle school (grade 4 - 8).",0.004910129000000015,0.00019976309999997135,0.9847856760025024
"although, what would equate to a notable career of the day, the idea of being a regiment painter did not appeal to fedotov, who understood that a true creative artist should devote himself to art completely and so choosing to concentrate more fully on his painting, he retired himself from the army in 1844 and handed himself over to his artistry.","although, what would equate to a notable career of the day, the idea of being a regiment painter did not appeal to fedotov, who believed that a true creative artist should devote himself to art completely and so choosing to concentrate more fully on his painting, he retired himself from the army in 1844 and handed himself over to his artistry.","although, what would equate to a notable career of the day, the idea of being a regiment painter did not appeal to fedotov, who believed that a true creative artist should devote himself to art completely and so choosing to concentrate more fully on his painting, he retired himself from the army in 1844 and handed himself over to his artistry.",0.441540438,0.0,0.998461902141571
"when the dying high lama asks him to take charge after his passing , conway must decide between embracing the inner peace, love, and sense of purpose he has discovered in this mysterious world or attempt to return to civilization as he knows it.","when the dying high lama asks him to take charge after his death , conway must decide between embracing the inner peace, love, and sense of purpose he has discovered in this mysterious world or attempt to return to civilization as he knows it.","when the dying high lama asks him to take charge after his death , conway must decide between embracing the inner peace, love, and sense of purpose he has discovered in this mysterious world or attempt to return to civilization as he knows it.",0.004662077550000001,0.0,0.9963154196739197
"hostel part ii was one of the most stolen films on the internet, according to piratebay.","hostel part ii was one of the most downloaded films on the internet, according to piratebay.","hostel part ii was one of the most stolen films on the internet, according to piratebay.",0.0,0.032770024999999994,1.0
"his family is jewish, and he is related to comedienne amy schumer.","his family is jewish, and he is related to comedian amy schumer.","his family is jewish, and he is related to comedian amy schumer.",0.0009335590500000356,0.0,0.9504426717758179
"there is debate about whether democracy is a consequence of this economic growth , a cause of it , or completely unrelated to it.","there is debate about whether democracy is a consequence of economic growth , a cause of it , or completely unrelated to it.","there is debate about whether democracy is a consequence of this economic growth , a cause of it , or completely unrelated to it.",0.0,0.01334748999999999,1.0
"daniel w. ""danny"" strong (born june 6, 1974) is an american actor and emmy-winning writer in film and television.","daniel w. ""danny"" strong (born june 6, 1974) is an american actor and writer in film and television.","daniel w. ""danny"" strong (born june 6, 1974) is an american actor and writer in film and television.",0.0220661844,0.0,0.9132325649261475
esstonia (russia) an offensive term applied to estonians and estonia portraying them as nazi sympathisers.,esstonia (russia) an offensive term applied to estonians and estonia in attempts to portray them as nazi sympathisers.,esstonia (russia) an term applied to estonians and estonia portraying them as nazi sympathisers.,0.24304706480000005,0.24112984250000002,0.9536030292510986
"exploiting local superstitious beliefs, particularly those related to spiritual or demonic possession or witchcraft, helen ukpabio's organisation has grown exponentionally throughout nigeria and west africa since its foundation.","exploiting superstitious beliefs, particularly those related to spiritual or demonic possession or witchcraft, helen ukpabio's organisation has grown exponentionally throughout nigeria and west africa since its foundation.","exploiting local superstitious beliefs, particularly those related to spiritual or demonic possession or witchcraft, helen ukpabio's organisation has grown exponentionally throughout nigeria and west africa since its foundation.",0.0,0.016623489000000005,1.0
the unclean animals are listed in the book of leviticus in the holy bible.,the unclean animals are listed in the book of leviticus in the bible.,the unclean animals are listed in the book of leviticus in the bible.,0.026682085499999973,0.0,0.9889694452285767
"vanity fair writer and editor david kamp gave his book about the spread of american mass-media culinary sophistication the prophetic title: the united states of arugula: how we became a gourmet nation (clarkson potter, 2006).","vanity fair writer and editor david kamp gave his book about the spread of american mass-media culinary sophistication the title: the united states of arugula: how we became a gourmet nation (clarkson potter, 2006).","vanity fair writer and editor david kamp gave his book about the spread of american mass-media culinary sophistication the title: the united states of arugula: how we became a gourmet nation (clarkson potter, 2006).",0.44500226,0.0,0.9940197467803955
"it includes a lament for henry frederick, prince of wales, who was on good terms with fanshawe.","his output includes a lament for henry frederick, prince of wales, who was on good terms with fanshawe.","it includes a lament for henry frederick, prince of wales, who was on good terms with fanshawe.",0.0,0.028758815500000007,1.0
the institutional church in england briefly acquiesced to catholic practice during the reign of the catholic queen mary i from 1553 to 1558. mary believed she had a mission to bring back the whole of england to the catholic faith.,the institutional church in england acquiesced to catholic practice during the reign of the catholic queen mary i from 1553 to 1558. mary believed she had a mission to bring back the whole of england to the catholic faith.,the institutional church in england briefly acquiesced to catholic practice during the reign of the catholic queen mary i from 1553 to 1558. mary believed she had a mission to bring back the whole of england to the christian faith.,0.009730024999999975,0.03390491500000001,0.9834003448486328
the text of the two private secrets were both handed to blessed pope pius ix on july 18 1851. this text was rediscovered by reverend father marcel corteville m.s.,the text of the two private secrets were both handed to pope pius ix on july 18 1851. this text was rediscovered by reverend father marcel corteville m.s.,the text of the two private secrets were both handed to pope pius ix on july 18 1851. this text was rediscovered by reverend father marcel corteville m.s.,0.06547805514999998,0.0,0.9932603240013123
the 613 mitzvot are divided into three general categories.,the 613 mitzvot have been divided into three general categories.,the 613 mitzvot are divided into three general categories.,0.0,0.07225284499999995,1.0
of the popular korean girl group girls' generation.,of the korean girl group girls' generation.,of the korean girl group girls' generation.,0.030676220150000023,0.0,0.9050456881523132
"since 1994 stephen has written several articles (including for the journal history) and books on medieval history, and is a regular conference organiser and speaker on the subject of king john.","since 1994 he has written several articles (including for the journal history) and books on medieval history, and is a regular conference organiser and speaker on the subject of king john.","since 1994 stephen has written several articles (including for the journal history) and books on medieval history, and is a regular conference organiser and speaker on the subject of king john.",0.0,0.018251416999999985,1.0
"buckham singh (december 5, 1893 - august 27, 1919) was a canadian sikh war hero .","buckham singh (december 5, 1893 - august 27, 1919) was a canadian sikh war veteran .","buckham singh (december 5, 1893 - august 27, 1919) was a canadian sikh war veteran .",0.12762137999999998,0.0,0.9750813841819763
"there are also several good restaurants, including blue eyed marys, mik.sa, and tuscany.","there are also several restaurants, including blue eyed marys, mik.sa, and tuscany.","there are also several restaurants, including blue eyed marys, mik.sa, and tuscany.",0.0020416366999999776,0.0,0.946877658367157
"the company's flagship product is ability office professional , the premier edition of their award-winning office suite.","the company's flagship product is ability office professional , the premier edition of their office suite.","the company's flagship product is ability office professional , the premier edition of their office suite.",0.0014949805000000118,0.0,0.968130350112915
"kulhawik received her bachelor of arts degree in english & secondary education from simmons college in 1974. one of the top two graduating seniors at simmons, kulhawik received the prestigious crown zellerbach award and a full fellowship from the university of vermont, where she received a double master's degree in english/education in 1977. she taught english at brookline high school from 1976 through 1978, and at the boston architectural center from 1977 through 1979.","kulhawik received her bachelor of arts degree in english & secondary education from simmons college in 1974. one of the top two graduating seniors at simmons, kulhawik received the crown zellerbach award and a full fellowship from the university of vermont, where she received a double master's degree in english/education in 1977. she taught english at brookline high school from 1976 through 1978, and at the boston architectural center from 1977 through 1979.","kulhawik received her bachelor of arts degree in english & secondary education from simmons college in 1974. one of the top two graduating seniors at simmons, kulhawick received the crown zellerbach award and a full fellowship from the university of vermont, where she received a double master's degree in french/education in 1977. she taught english at brookline high school from 1976 through 1978, and at the boston architectural center from 1977 through 1979.",0.0061471104999999806,0.0020653674999999974,0.9929184317588806
was a palestinian terrorist attack that occurred in may 1974 and involved a two-day hostage-taking of 115 israeli people which ended in the murders of over 25 hostages.,was a palestinian attack that occurred in may 1974 and involved a two-day hostage-taking of 115 israeli people which ended in the murders of over 25 hostages.,was a palestinian terrorist attack that occurred in may 1974 and involved a two-day hostage-taking of 115 israeli people which ended in the deaths of over 25 hostages.,0.08398182800000002,0.1068260285,0.9941015839576721
